"xseconds,"rate"
"5:","168"
"10:","176"
"15:","176"
"20:","175"
"25:","176"
"30:","176"
"35:","176"
"40:","309"
"45:","345"
"50:","345"
"55:","351"
"60:","338"
"65:","339"
"70:","333"
"75:","333"
"80:","331"
"85:","347"
"90:","340"
"95:","341"
"100:","340"
"105:","336"
"110:","348"
"115:","324"
"120:","329"
"125:","339"
"130:","339"
"135:","335"
"140:","348"
"145:","345"
"150:","342"
"155:","333"
"160:","344"
"165:","347"
"170:","339"
"175:","349"
"180:","337"
"185:","342"
"190:","333"
"195:","341"
"200:","336"
"205:","336"
"210:","335"
"215:","334"
"220:","326"
"225:","339"
"230:","340"
"235:","360"
"240:","393"
