"xseconds,"rate"
"5:","52"
"10:","180"
"15:","240"
"20:","240"
"25:","241"
"30:","239"
"35:","249"
"40:","239"
"45:","236"
"50:","236"
"55:","245"
"60:","245"
"65:","231"
"70:","250"
"75:","238"
"80:","251"
"85:","246"
"90:","248"
"95:","240"
"100:","239"
"105:","250"
"110:","253"
"115:","256"
"120:","253"
"125:","241"
"130:","231"
"135:","260"
"140:","247"
"145:","251"
"150:","251"
"155:","256"
"160:","236"
"165:","256"
"170:","257"
"175:","243"
"180:","246"
"185:","240"
"190:","254"
"195:","245"
"200:","225"
"205:","256"
"210:","257"
"215:","257"
"220:","247"
"225:","235"
"230:","236"
"235:","255"
"240:","315"
