"xseconds,"rate"
"5:","185"
"10:","240"
"15:","248"
"20:","241"
"25:","244"
"30:","244"
"35:","250"
"40:","234"
"45:","233"
"50:","245"
"55:","243"
"60:","249"
"65:","243"
"70:","247"
"75:","239"
"80:","243"
"85:","249"
"90:","244"
"95:","246"
"100:","250"
"105:","235"
"110:","244"
"115:","249"
"120:","234"
"125:","243"
"130:","228"
"135:","238"
"140:","244"
"145:","240"
"150:","235"
"155:","246"
"160:","252"
"165:","248"
"170:","252"
"175:","246"
"180:","239"
"185:","243"
"190:","240"
"195:","242"
"200:","247"
"205:","240"
"210:","237"
"215:","241"
"220:","241"
"225:","236"
"230:","252"
"235:","321"
"240:","398"
