"xseconds,"rate"
"5:","217"
"10:","192"
"15:","204"
"20:","200"
"25:","211"
"30:","200"
"35:","202"
"40:","200"
"45:","200"
"50:","197"
"55:","207"
"60:","206"
"65:","196"
"70:","209"
"75:","203"
"80:","195"
"85:","205"
"90:","205"
"95:","204"
"100:","205"
"105:","195"
"110:","204"
"115:","204"
"120:","203"
"125:","202"
"130:","212"
"135:","207"
"140:","211"
"145:","202"
"150:","205"
"155:","202"
"160:","206"
"165:","198"
"170:","200"
"175:","206"
"180:","204"
"185:","211"
"190:","204"
"195:","206"
"200:","202"
"205:","209"
"210:","206"
"215:","202"
"220:","197"
"225:","195"
"230:","205"
"235:","209"
"240:","249"
