"xseconds,"rate"
"5:","278"
"10:","237"
"15:","212"
"20:","204"
"25:","205"
"30:","200"
"35:","200"
"40:","208"
"45:","201"
"50:","203"
"55:","205"
"60:","202"
"65:","205"
"70:","206"
"75:","218"
"80:","198"
"85:","210"
"90:","211"
"95:","204"
"100:","208"
"105:","210"
"110:","205"
"115:","207"
"120:","204"
"125:","202"
"130:","202"
"135:","202"
"140:","207"
"145:","208"
"150:","207"
"155:","210"
"160:","210"
"165:","201"
"170:","206"
"175:","204"
"180:","201"
"185:","211"
"190:","210"
"195:","215"
"200:","206"
"205:","206"
"210:","201"
"215:","200"
"220:","203"
"225:","200"
"230:","201"
"235:","223"
"240:","247"
