"xseconds,"rate"
"5:","225"
"10:","250"
"15:","240"
"20:","232"
"25:","240"
"30:","244"
"35:","250"
"40:","230"
"45:","249"
"50:","248"
"55:","244"
"60:","242"
"65:","245"
"70:","242"
"75:","246"
"80:","235"
"85:","235"
"90:","244"
"95:","238"
"100:","229"
"105:","236"
"110:","245"
"115:","237"
"120:","242"
"125:","246"
"130:","236"
"135:","233"
"140:","238"
"145:","242"
"150:","242"
"155:","245"
"160:","234"
"165:","240"
"170:","250"
"175:","244"
"180:","246"
"185:","234"
"190:","246"
"195:","246"
"200:","245"
"205:","245"
"210:","243"
"215:","233"
"220:","245"
"225:","235"
"230:","252"
"235:","313"
"240:","396"
