"xseconds,"rate"
"5:","174"
"10:","219"
"15:","226"
"20:","239"
"25:","240"
"30:","221"
"35:","226"
"40:","238"
"45:","228"
"50:","233"
"55:","231"
"60:","224"
"65:","225"
"70:","234"
"75:","227"
"80:","225"
"85:","229"
"90:","239"
"95:","227"
"100:","230"
"105:","223"
"110:","229"
"115:","231"
"120:","225"
"125:","217"
"130:","232"
"135:","233"
"140:","229"
"145:","232"
"150:","234"
"155:","222"
"160:","229"
"165:","235"
"170:","235"
"175:","235"
"180:","227"
"185:","242"
"190:","219"
"195:","225"
"200:","230"
"205:","245"
"210:","230"
"215:","228"
"220:","232"
"225:","224"
"230:","266"
"235:","336"
"240:","407"
