"xseconds,"rate"
"5:","227"
"10:","164"
"15:","202"
"20:","200"
"25:","197"
"30:","197"
"35:","198"
"40:","199"
"45:","214"
"50:","203"
"55:","205"
"60:","197"
"65:","207"
"70:","207"
"75:","207"
"80:","193"
"85:","201"
"90:","202"
"95:","204"
"100:","197"
"105:","206"
"110:","198"
"115:","202"
"120:","195"
"125:","208"
"130:","197"
"135:","207"
"140:","207"
"145:","207"
"150:","195"
"155:","199"
"160:","201"
"165:","202"
"170:","193"
"175:","198"
"180:","201"
"185:","203"
"190:","202"
"195:","208"
"200:","203"
"205:","196"
"210:","199"
"215:","195"
"220:","201"
"225:","191"
"230:","197"
"235:","204"
"240:","252"
