"xseconds,"rate"
"5:","354"
"10:","261"
"15:","267"
"20:","264"
"25:","265"
"30:","275"
"35:","264"
"40:","274"
"45:","272"
"50:","268"
"55:","261"
"60:","262"
"65:","273"
"70:","266"
"75:","249"
"80:","256"
"85:","266"
"90:","269"
"95:","222"
"100:","256"
"105:","270"
"110:","278"
"115:","241"
"120:","251"
"125:","262"
"130:","265"
"135:","250"
"140:","250"
"145:","252"
"150:","263"
"155:","265"
"160:","262"
"165:","253"
"170:","258"
"175:","272"
"180:","270"
"185:","265"
"190:","259"
"195:","259"
"200:","271"
"205:","260"
"210:","269"
"215:","259"
"220:","254"
"225:","299"
"230:","369"
"235:","500"
"240:","672"
