"xseconds,"rate"
"5:","209"
"10:","279"
"15:","215"
"20:","174"
"25:","173"
"30:","173"
"35:","170"
"40:","170"
"45:","171"
"50:","172"
"55:","170"
"60:","170"
"65:","169"
"70:","176"
"75:","173"
"80:","173"
"85:","172"
"90:","171"
"95:","174"
"100:","174"
"105:","164"
"110:","172"
"115:","175"
"120:","175"
"125:","176"
"130:","173"
"135:","172"
"140:","170"
"145:","175"
"150:","175"
"155:","173"
"160:","158"
"165:","173"
"170:","173"
"175:","174"
"180:","172"
"185:","173"
"190:","172"
"195:","174"
"200:","192"
"205:","176"
"210:","173"
"215:","175"
"220:","179"
"225:","173"
"230:","173"
"235:","174"
"240:","177"
