"xseconds,"rate"
"5:","185"
"10:","186"
"15:","181"
"20:","185"
"25:","185"
"30:","186"
"35:","185"
"40:","177"
"45:","177"
"50:","175"
"55:","155"
"60:","155"
"65:","156"
"70:","155"
"75:","155"
"80:","152"
"85:","155"
"90:","164"
"95:","176"
"100:","168"
"105:","162"
"110:","165"
"115:","163"
"120:","166"
"125:","165"
"130:","164"
"135:","162"
"140:","166"
"145:","166"
"150:","160"
"155:","158"
"160:","157"
"165:","162"
"170:","168"
"175:","164"
"180:","165"
"185:","164"
"190:","164"
"195:","165"
"200:","163"
"205:","165"
"210:","166"
"215:","160"
"220:","190"
"225:","240"
"230:","311"
"235:","400"
"240:","488"
